Page,Section,Karl CMS / StreamField Block,Expected Data Fields,CMS Compliance,Notes / Deviations
inspectorLookup,(page-level fields),"title, description, primary_agency, cost, things_to_know + Promote tab","title (req); description (textarea); primary_agency (page chooser -> Agency only, REQUIRED); cost (max 1 item, Cost description <=120 chars); things_to_know (title_and_text, max 2); seo_title / search_description / slug on Promote tab",Custom,"U6 NARROWED: primaryAgency now exists (added by 065b62b to all 14 pages) but stores the label 'Healthy Housing and Vector Control'; primary_agency is a page chooser restricted to Agency pages and needs a page reference. Field map still records '- (no mockup field; U6)' - update it. No partnerAgencies. things_to_know total 2 (1 page-level + 1 section) - within cap. Not migrated: audience, reading, editorStatus, editorNote, kind, karl."
inspectorLookup,What this tool covers,things_to_know -> title_and_text,"Title (plain text); Text (rich text)",Native,"Heading -> Title, 1 paragraph -> Text. Content risk: the paragraph is flagged unverified: true - no tier-1 source that HHVC assigns inspectors by neighborhood. Confirm with HHVC before publication."
inspectorLookup,Open the lookup tool,what_to_do -> Section,"section_title (plain text); section_specifics: Text (rich text) + Button link (radio SF.gov page / External URL / None, Link text*, Screenreader label) + Callout (bare rich text)",Custom,"U1: button/buttonUrl sit at section level, outside any step - Transaction's only Button link slot is inside a what_to_do Section. U2: callout.title 'Lookup destination not yet confirmed' has no field; every Karl Callout is a single rich text field. buttonUrl is the inert '#' placeholder pending an HHVC-confirmed destination."
inspectorLookup,Related pages,related,"Page* (page chooser, unrestricted, repeatable)",Native,"4 entries. DEVIATION: related has no per-item title/text, so the mockup's card titles are dropped and the destination page's own title/summary renders instead."
inspectionPrepInitial,(page-level fields),"title, description, primary_agency, cost, things_to_know + Promote tab","as above",Custom,"U6 NARROWED (label, not Agency page ref). No partnerAgencies. things_to_know total 2 (2 page-level + 0 section) - at cap exactly. cost = 'Free' (4 chars, within the 120-char Cost description cap)."
inspectionPrepInitial,Before the inspector arrives,what_to_do -> Section (x3),"section_title; section_specifics chooser: Address | Callout | Document | Email | Button link | Phone number | Text",Native,"3 steps -> 3 Section blocks. Bullets render inside the Text block's rich text, not as separate blocks."
inspectionPrepInitial,What to expect during the visit,what_to_do -> Section (x2),"section_title; section_specifics (as above)",Custom,"DEVIATION: Karl has no container per mockup heading - this section and 'Before the inspector arrives' share one flat what_to_do stream, so this heading text itself has no home. The section's own karl note concedes this."
inspectionPrepInitial,Related pages,related,Page* (repeatable),Native,"3 entries; per-item title/text dropped."
inspectionPrepFollowup,(page-level fields),"title, description, primary_agency, cost, things_to_know + Promote tab","as above",Custom,"U6 NARROWED (label, not Agency page ref). No partnerAgencies. things_to_know total 2 - at cap exactly."
inspectionPrepFollowup,Document your work,what_to_do -> Section (x2),"section_title; section_specifics chooser (7 block types)",Native,"2 steps -> 2 Section blocks."
inspectionPrepFollowup,What to expect at the follow-up visit,what_to_do -> Section (x2),"section_title; section_specifics (as above)",Custom,"DEVIATION: same heading collapse as inspectionPrepInitial - two mockup headings, one flat what_to_do stream, second heading has no home."
inspectionPrepFollowup,Related pages,related,Page* (repeatable),Native,"3 entries; per-item title/text dropped."
findRecords,(page-level fields),"title, description, primary_agency, cost, things_to_know, partner_agencies + Promote tab","primary_agency (REQUIRED, page chooser -> Agency); things_to_know (max 2); partner_agencies (page chooser -> Agency, repeatable)",Custom,"U6 NARROWED (label, not Agency page ref). CAP BREACH: things_to_know total 3 (2 page-level + 1 section) against a max of 2. The cap is E3 (Help Center), which governs under the 2026-08-23 precedence reversal even though the form accepts more. partnerAgencies present."
findRecords,What you can look up,things_to_know -> title_and_text,"Title (plain text); Text (rich text)",Custom,"CAP BREACH: this is the 3rd things_to_know entry on a page capped at 2 - see the page-level row. 2 paragraphs + 4 bullets fold into one Text field."
findRecords,Open the lookup tool,what_to_do -> Section,"section_title; section_specifics: Text + Button link (External URL -> xnet) + Callout",Custom,"U1: section-level button outside any step. Callout carries no title here, so U2 does not apply."
findRecords,If you need to report a new problem,related,Page* (repeatable),Custom,"DEVIATION: Transaction's related panel is one flat repeatable list with no sub-heading or grouping support - these 3 cards and the 2 under 'Related pages' merge into a single 5-entry list and the editorial split is lost. The section's own karl note flags this for a Digital Services ordering decision."
